level_0,index,username,acctdesc,location,following,followers,totaltweets,usercreatedts,tweetcreatedts,retweetcount,text,hashtags,mentioned_users,cleaned_text,document_tone,sentences_tone
0,4499,AMANOLESCO,"second profile-former pinkerton guard -passionate about doing the right thingprotection of all- animals, babies and children!","dunvegan,ontario,canada",996,235,15654,2012-08-17 16:57:09,2020-06-21 04:08:30,10703,6 members of Trump's Tulsa advance staff have tested positive for COVID-19. Each may have infected hundreds with the virus already.,[],[],member trump's tulsa advance staff test positive may infect hundred virus already,{'tones': []},
1,4500,edgarrallanpoe_,"oakland 🛫 san antonio , rarely use twitter but i'm still around, follow me on instagram @edgarrallanpoe","san antonio, tx",498,17,398,2016-02-28 09:04:39,2020-06-20 03:07:05,368,"Thanks a lot jackasses, due to the spike in Corona Virus cases in the state, visitation at the hospital has been cut off completely. Hope brunch at that bar and grill was worth it, you selfish fucks. Eat a bag of dicks.",[],[],thanks lot jackass due spike corona virus case state visitation hospital cut completely hope brunch bar grill worth selfish fuck eat bag dick,"{'tones': [{'score': 0.597553, 'tone_id': 'anger', 'tone_name': 'Anger'}]}",
2,4501,KevinRobbins9,"retired baker. current gardener, food preserver and aspiring guitarist. member of usaf before the cinc became a russian asset. #tedracobb","fort edward, ny",755,463,11888,2012-11-06 16:23:51,2020-06-21 02:35:48,1,"@RepStefanik @EliseStefanik  @KevinRobbins9 
@KristaSparks95 @KevinRobbins9  @NatSecMulligan 
@MikeJoPro @MichelleTolosky  elise you have to the gall to bad mouth and criticize our Great Gov. of his handling of COVID virus, what's your reply to the presidents following statement https://t.co/t1JC3qFQwy",[],"['@RepStefanik', '@EliseStefanik', '@KevinRobbins9', '@KristaSparks95', '@KevinRobbins9', '@NatSecMulligan', '@MikeJoPro', '@MichelleTolosky']",elise gall bad mouth criticize great gov handle covid virus what's reply president follow statement,"{'tones': [{'score': 0.532616, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]}",
3,4502,gina_roemer,i am antifa. #blm #lgbqtally #countryoverparty #bidenharris2020 no dms,"quintana roo, méxico",725,405,66519,2015-07-18 22:59:29,2020-06-20 02:01:35,80,"Chris Hayes on U.S. COVID-19 response: 

“The last refuge for comparison…was Europe. And it was a way for making ourselves feel better about how we were dealing with the virus. But now that is clearly gone. Europe has suppressed the virus and we have not.”https://t.co/QBt6t9ipZJ",[],[],"chris hayes u.s response 

“the last refuge comparison…was europe way make feel well deal virus clearly go europe suppress virus not.”","{'tones': [{'score': 0.553139, 'tone_id': 'sadness', 'tone_name': 'Sadness'}, {'score': 0.79901, 'tone_id': 'confident', 'tone_name': 'Confident'}, {'score': 0.89164, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]}","[{'sentence_id': 0, 'text': 'chris hayes u.s response ', 'tones': []}, {'sentence_id': 1, 'text': '', 'tones': []}, {'sentence_id': 2, 'text': '“the last refuge comparison…was europe way make feel well deal virus clearly go europe suppress virus not.”', 'tones': [{'score': 0.558406, 'tone_id': 'sadness', 'tone_name': 'Sadness'}, {'score': 0.884998, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]}]"
4,4503,CindidevichG,n.a,n.a,79,200,23929,2014-02-08 04:14:52,2020-06-21 02:21:50,802,"Why did the Washington Post all of a sudden remove the daily China Virus death tracker from its front page now that COVID deaths are decreasing nationwide?

I guess it just doesn’t fit their narrative anymore.

🤔",[],[],"washington post sudden remove daily china virus death tracker front page covid death decrease nationwide?

i guess doesn’t fit narrative anymore.

🤔","{'tones': [{'score': 0.630541, 'tone_id': 'sadness', 'tone_name': 'Sadness'}, {'score': 0.893364, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]}","[{'sentence_id': 0, 'text': 'washington post sudden remove daily china virus death tracker front page covid death decrease nationwide?', 'tones': [{'score': 0.511428, 'tone_id': 'sadness', 'tone_name': 'Sadness'}]}, {'sentence_id': 1, 'text': 'i guess doesn’t fit narrative anymore.', 'tones': [{'score': 0.640493, 'tone_id': 'sadness', 'tone_name': 'Sadness'}, {'score': 0.946222, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]}, {'sentence_id': 2, 'text': '🤔', 'tones': []}]"
5,4504,jenbrea,hcp ally. filmmaker @unrestfilm. @meactnet co-founder. disability rights activist. harvard polisci ph.d/stats ma dropout. in remission from #mecfs. still #mcas.,"los angeles, ca",1893,25234,39857,2008-07-21 23:17:27,2020-06-21 02:26:30,1,"Holy crap. 624 new COVID cases in my state. Yesterday it was 409. On the 17th it was 253. And it's not King county that's spiking here, it's Yakima. I'm so scared for them. :( It's an area where virus safety has been heavily politicized. I'm 💔

https://t.co/wN7Ag6CUOS",[],[],"holy crap new covid case state yesterday king county that's spike yakima i'm scared area virus safety heavily politicize i'm 

","{'tones': [{'score': 0.877019, 'tone_id': 'fear', 'tone_name': 'Fear'}]}",
6,4505,ClarekNickolas,mechanical engineer. hip hop fun!! half  🇳🇴 & other half is little bit of  🇩🇰 and  🇪🇹. living in la. #liberal,"los angeles, ca",959,789,176463,2018-01-19 20:45:49,2020-06-20 02:00:00,22844,"Trump's rally in Tulsa is indoors, with no social distancing and no mask requirements—all in violation of CDC guidelines. Trump is willing to spread the COVID-19 virus in order to hear some cheers. He is a direct threat to the health of the American people. He must be defeated.",[],[],trump's rally tulsa indoors social distance mask requirements—all violation cdc guideline trump willing spread virus order hear cheer direct threat health american people must defeat,"{'tones': [{'score': 0.674728, 'tone_id': 'confident', 'tone_name': 'Confident'}, {'score': 0.642915, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]}",
7,4506,GaryLMcArdle1,n.a,n.a,804,651,18887,2018-09-08 23:46:53,2020-06-21 02:23:06,793,"Why did the Washington Post all of a sudden remove the daily China Virus death tracker from its front page now that COVID deaths are decreasing nationwide?

I guess it just doesn’t fit their narrative anymore.

🤔",[],[],"washington post sudden remove daily china virus death tracker front page covid death decrease nationwide?

i guess doesn’t fit narrative anymore.

🤔","{'tones': [{'score': 0.630541, 'tone_id': 'sadness', 'tone_name': 'Sadness'}, {'score': 0.893364, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]}","[{'sentence_id': 0, 'text': 'washington post sudden remove daily china virus death tracker front page covid death decrease nationwide?', 'tones': [{'score': 0.511428, 'tone_id': 'sadness', 'tone_name': 'Sadness'}]}, {'sentence_id': 1, 'text': 'i guess doesn’t fit narrative anymore.', 'tones': [{'score': 0.640493, 'tone_id': 'sadness', 'tone_name': 'Sadness'}, {'score': 0.946222, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]}, {'sentence_id': 2, 'text': '🤔', 'tones': []}]"
8,4507,Justicebefound,please rt and share to help all families of loved ones with their appeals for justice. thank you! #missing #homicide #death #justice #sexualassault nomorehate.,n.a,1093,701,8137,2017-01-24 01:48:26,2020-06-21 03:30:42,0,"@Acyn There you have it.
Egotistic Trump stops full testing of the corona virus to make the numbers look good.
It's all about numbers.
People are just numbers.
This man has no soul.
In fact he is verging on genocide from within the USA.",[],['@Acyn'],"it.
egotistic trump stop full test corona virus make number look good.
it's numbers.
people numbers.
this man soul.
in fact verge genocide within usa","{'tones': [{'score': 0.531513, 'tone_id': 'joy', 'tone_name': 'Joy'}, {'score': 0.694442, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]}","[{'sentence_id': 0, 'text': 'it.', 'tones': []}, {'sentence_id': 1, 'text': 'egotistic trump stop full test corona virus make number look good.', 'tones': [{'score': 0.574558, 'tone_id': 'joy', 'tone_name': 'Joy'}]}, {'sentence_id': 2, 'text': ""it's numbers."", 'tones': []}, {'sentence_id': 3, 'text': 'people numbers.', 'tones': []}, {'sentence_id': 4, 'text': 'this man soul.', 'tones': [{'score': 0.589326, 'tone_id': 'joy', 'tone_name': 'Joy'}]}, {'sentence_id': 5, 'text': 'in fact verge genocide within usa', 'tones': [{'score': 0.944551, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]}]"
9,4508,GarlingtonFaith,i'm here to elevate voices and stories that cut through the noise.,"san jose, ca",133,10,305,2020-06-01 03:01:23,2020-06-20 02:01:57,22831,"Trump's rally in Tulsa is indoors, with no social distancing and no mask requirements—all in violation of CDC guidelines. Trump is willing to spread the COVID-19 virus in order to hear some cheers. He is a direct threat to the health of the American people. He must be defeated.",[],[],trump's rally tulsa indoors social distance mask requirements—all violation cdc guideline trump willing spread virus order hear cheer direct threat health american people must defeat,"{'tones': [{'score': 0.674728, 'tone_id': 'confident', 'tone_name': 'Confident'}, {'score': 0.642915, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]}",
